Date,Description,Amount,Type
2024-01-02,Salary Deposit - TechCorp Inc,4500.00,credit
2024-01-03,Whole Foods Market,-127.45,debit
2024-01-04,Netflix Subscription,-15.99,debit
2024-01-05,Uber Ride to Office,-18.50,debit
2024-01-06,Starbucks Coffee,-6.75,debit
2024-01-07,Amazon Purchase - Books,-42.30,debit
2024-01-08,Planet Fitness Monthly,-24.99,debit
2024-01-09,Shell Gas Station,-65.00,debit
2024-01-10,CVS Pharmacy,-23.40,debit
2024-01-11,Chipotle Mexican Grill,-13.85,debit
2024-01-12,Spotify Premium,-9.99,debit
2024-01-13,Rent Payment - Oakwood Apts,-1400.00,debit
2024-01-14,Uber Eats - McDonald's,-28.60,debit
2024-01-15,Target Store,-89.75,debit
2024-01-16,Freelance Payment - DesignCo,800.00,credit
2024-01-17,Comcast Internet,-74.99,debit
2024-01-18,Trader Joe's,-93.20,debit
2024-01-19,Lyft Ride,-12.30,debit
2024-01-20,Hulu + Live TV,-76.99,debit
2024-01-21,Walgreens,-18.90,debit
2024-01-22,Cheesecake Factory,-67.40,debit
2024-01-23,Apple iCloud Storage,-2.99,debit
2024-01-24,Home Depot,-145.60,debit
2024-01-25,Starbucks Coffee,-5.25,debit
2024-01-26,Uber Ride,-22.40,debit
2024-01-27,AMC Movie Theaters,-32.50,debit
2024-01-28,Electric Bill - ConEd,-112.30,debit
2024-01-29,Whole Foods Market,-105.80,debit
2024-01-30,GrubHub - Thai Palace,-35.20,debit
2024-02-01,Salary Deposit - TechCorp Inc,4500.00,credit
2024-02-02,Water & Sewage Bill,-45.00,debit
2024-02-03,Costco Membership,-65.00,debit
2024-02-04,Sephora,-78.50,debit
2024-02-05,Panera Bread,-14.25,debit
2024-02-06,Amazon Prime Monthly,-14.99,debit
2024-02-07,Lyft Ride,-15.60,debit
2024-02-08,Doctor Visit Copay,-40.00,debit
2024-02-09,Zara Clothing,-156.75,debit
2024-02-10,Chipotle Mexican Grill,-11.90,debit
2024-02-12,AT&T Phone Bill,-85.00,debit
2024-02-13,Uber Eats - Pizza Hut,-31.40,debit
2024-02-14,Valentine's Dinner - Nobu,-210.00,debit
2024-02-15,Freelance Payment - StartupXYZ,1200.00,credit
2024-02-16,Trader Joe's,-87.60,debit
2024-02-17,Shell Gas Station,-58.30,debit
2024-02-18,Rent Payment - Oakwood Apts,-1400.00,debit
2024-02-20,LinkedIn Premium,-39.99,debit
2024-02-22,Nike Store,-125.00,debit
2024-02-24,Starbucks Coffee,-7.10,debit
2024-02-26,Disney+ Subscription,-13.99,debit
